"posting_date","currency_date","amount","category"
"17.07.2025","17.07.2025",250,"Sport"
"17.07.2025","17.07.2025",500,"Sport"
"16.07.2025","16.07.2025",-46,"Jedzenie"
"16.07.2025","16.07.2025",-24.99,"Transport publiczny"
"15.07.2025","15.07.2025",-1.5,"Transport publiczny"
"15.07.2025","15.07.2025",-3.99,"Jedzenie"
"15.07.2025","15.07.2025",-1.2,"Jedzenie"
"14.07.2025","13.07.2025",-4.65,"Jedzenie"
"11.07.2025","11.07.2025",-1375.18,"Podroze"
"11.07.2025","11.07.2025",-3000,"Podroze"
"11.07.2025","11.07.2025",5000,"Przychody"
"10.07.2025","10.07.2025",-14.99,"Biezace"
"08.07.2025","08.07.2025",-5.49,"Jedzenie"
"08.07.2025","08.07.2025",-2,"Transport publiczny"
"08.07.2025","08.07.2025",-26.98,"Biezace"
"08.07.2025","08.07.2025",-450,"Zdrowie"
"08.07.2025","08.07.2025",-244.97,"Sport"
"08.07.2025","08.07.2025",-8.5,"Jedzenie"
"08.07.2025","08.07.2025",-1.5,"Transport publiczny"
"08.07.2025","08.07.2025",-1.5,"Transport publiczny"
"07.07.2025","07.07.2025",-18,"Biezace"
"07.07.2025","06.07.2025",55,"Sport"
"04.07.2025","03.07.2025",-10.99,"Jedzenie"
"04.07.2025","04.07.2025",-3.5,"Jedzenie"
"04.07.2025","03.07.2025",-15,"Gotowe jedzenie"
"03.07.2025","03.07.2025",-3.5,"Jedzenie"
"03.07.2025","03.07.2025",-7.5,"Jedzenie"
"03.07.2025","03.07.2025",-3.4,"Transport publiczny"
"03.07.2025","03.07.2025",-10.48,"Jedzenie"
"03.07.2025","03.07.2025",-3.62,"Jedzenie"
"02.07.2025","02.07.2025",-6.5,"Jedzenie"
"02.07.2025","02.07.2025",-5.9,"Jedzenie"
"02.07.2025","02.07.2025",-7,"Gotowe jedzenie"
"02.07.2025","02.07.2025",-41,"Ubrania"
"01.07.2025","01.07.2025",-49.79,"Jedzenie"
"01.07.2025","01.07.2025",-8.5,"Gotowe jedzenie"
"01.07.2025","01.07.2025",-34.63,"Jedzenie"
"30.06.2025","29.06.2025",-3.99,"Jedzenie"
"28.06.2025","28.06.2025",-47.84,"Jedzenie"
"27.06.2025","27.06.2025",-454,"Podroze"
"27.06.2025","27.06.2025",-4.49,"Jedzenie"
"27.06.2025","27.06.2025",-9.52,"Jedzenie"
"26.06.2025","26.06.2025",47.44,"Podroze"
"26.06.2025","26.06.2025",-3.99,"Jedzenie"
"26.06.2025","26.06.2025",-40.4,"Biezace"
"26.06.2025","26.06.2025",-11.7,"Jedzenie"
"25.06.2025","25.06.2025",-2.79,"Jedzenie"
"24.06.2025","24.06.2025",-21.83,"Jedzenie"
"24.06.2025","24.06.2025",-4.58,"Jedzenie"
"24.06.2025","23.06.2025",-4.43,"Jedzenie"
"24.06.2025","23.06.2025",300,"Przychody"
"23.06.2025","23.06.2025",-3.29,"Jedzenie"
"23.06.2025","23.06.2025",-8.28,"Jedzenie"
"20.06.2025","20.06.2025",-3.75,"Jedzenie"
"20.06.2025","20.06.2025",-3.99,"Jedzenie"
"18.06.2025","18.06.2025",-22.12,"Jedzenie"
"18.06.2025","18.06.2025",-3.79,"Jedzenie"
"17.06.2025","17.06.2025",-7.98,"Jedzenie"
"17.06.2025","17.06.2025",-10.99,"Jedzenie"
"16.06.2025","16.06.2025",-10.51,"Jedzenie"
"16.06.2025","16.06.2025",-28,"Gotowe jedzenie"
"16.06.2025","16.06.2025",-5.48,"Jedzenie"
"16.06.2025","15.06.2025",-3.99,"Jedzenie"
"16.06.2025","14.06.2025",-5,"Jedzenie"
"14.06.2025","14.06.2025",-43.23,"Jedzenie"
"14.06.2025","14.06.2025",-8.9,"Jedzenie"
"13.06.2025","13.06.2025",-2.7,"Jedzenie"
"13.06.2025","13.06.2025",-9.74,"Jedzenie"
"12.06.2025","12.06.2025",-23.85,"Gotowe jedzenie"
"12.06.2025","12.06.2025",-63.44,"Jedzenie"
"11.06.2025","11.06.2025",-5.98,"Jedzenie"
"11.06.2025","11.06.2025",-1.79,"Jedzenie"
"11.06.2025","11.06.2025",-9.23,"Jedzenie"
"10.06.2025","10.06.2025",-6.94,"Jedzenie"
"10.06.2025","10.06.2025",-14.99,"Jedzenie"
"09.06.2025","09.06.2025",-11.99,"Gotowe jedzenie"
"09.06.2025","09.06.2025",-4,"Gotowe jedzenie"
"09.06.2025","08.06.2025",-8.5,"Gotowe jedzenie"
"09.06.2025","09.06.2025",-16.73,"Jedzenie"
"09.06.2025","08.06.2025",-5.98,"Jedzenie"
"09.06.2025","09.06.2025",-3.78,"Jedzenie"
"09.06.2025","08.06.2025",-4.8,"Jedzenie"
"07.06.2025","07.06.2025",-46.66,"Jedzenie"
"06.06.2025","06.06.2025",-3.49,"Kosmetyki"
"06.06.2025","06.06.2025",-3.78,"Jedzenie"
"06.06.2025","06.06.2025",-4,"Gotowe jedzenie"
"06.06.2025","06.06.2025",-13.47,"Jedzenie"
"05.06.2025","04.06.2025",-1.99,"Jedzenie"
"05.06.2025","05.06.2025",-4,"Gotowe jedzenie"
"05.06.2025","05.06.2025",-9.06,"Jedzenie"
"04.06.2025","04.06.2025",-28,"Gotowe jedzenie"
"04.06.2025","04.06.2025",-2.49,"Jedzenie"
"03.06.2025","03.06.2025",-8.97,"Jedzenie"
"03.06.2025","03.06.2025",-5.98,"Jedzenie"
"03.06.2025","02.06.2025",-13.95,"Jedzenie"
"02.06.2025","01.06.2025",-3,"Jedzenie"
"02.06.2025","02.06.2025",-5.6,"Jedzenie"
"02.06.2025","31.05.2025",-6,"Jedzenie"
"02.06.2025","01.06.2025",-4,"Gotowe jedzenie"
"02.06.2025","02.06.2025",-20.23,"Jedzenie"
"02.06.2025","02.06.2025",1700,"Przychody"
"31.05.2025","31.05.2025",-9,"Jedzenie"
"31.05.2025","31.05.2025",-50,"Prezenty"
"31.05.2025","31.05.2025",-2.49,"Jedzenie"
"31.05.2025","31.05.2025",-17.36,"Jedzenie"
"31.05.2025","30.05.2025",-30.17,"Jedzenie"
"30.05.2025","30.05.2025",-12.59,"Jedzenie"
"30.05.2025","30.05.2025",-19.13,"Jedzenie"
"29.05.2025","29.05.2025",-5.8,"Jedzenie"
"29.05.2025","29.05.2025",-23.85,"Gotowe jedzenie"
"29.05.2025","29.05.2025",-16,"Biezace"
"29.05.2025","29.05.2025",-4.01,"Jedzenie"
"28.05.2025","28.05.2025",-2.99,"Jedzenie"
"28.05.2025","28.05.2025",-8,"Jedzenie"
"28.05.2025","28.05.2025",-5.48,"Jedzenie"
"28.05.2025","27.05.2025",-5.28,"Jedzenie"
"27.05.2025","27.05.2025",-50,"Jedzenie"
"27.05.2025","27.05.2025",-18.52,"Jedzenie"
"27.05.2025","26.05.2025",-11.37,"Jedzenie"
"27.05.2025","26.05.2025",-4.29,"Kosmetyki"
"26.05.2025","26.05.2025",-2.19,"Jedzenie"
"26.05.2025","26.05.2025",-11.99,"Gotowe jedzenie"
"26.05.2025","24.05.2025",-20.76,"Jedzenie"
"24.05.2025","24.05.2025",-80,"Prezenty"
"24.05.2025","24.05.2025",-9.07,"Jedzenie"
"23.05.2025","23.05.2025",-40.02,"Jedzenie"
"23.05.2025","23.05.2025",-13.32,"Jedzenie"
"22.05.2025","22.05.2025",-8.67,"Jedzenie"
"22.05.2025","21.05.2025",-5.05,"Jedzenie"
"22.05.2025","22.05.2025",-4,"Gotowe jedzenie"
"21.05.2025","21.05.2025",-2.59,"Jedzenie"
"21.05.2025","20.05.2025",-7.81,"Jedzenie"
"20.05.2025","20.05.2025",-4.7,"Jedzenie"
"20.05.2025","19.05.2025",-21.03,"Jedzenie"
"19.05.2025","19.05.2025",-11.99,"Gotowe jedzenie"
"17.05.2025","17.05.2025",-45,"Sport"
"17.05.2025","17.05.2025",-96.95,"Kosmetyki"
"17.05.2025","17.05.2025",-2.4,"Transport publiczny"
"16.05.2025","16.05.2025",-2.4,"Transport publiczny"
"16.05.2025","16.05.2025",-90,"Gotowe jedzenie"
"16.05.2025","16.05.2025",-350,"Kosmetyki"
"12.05.2025","12.05.2025",-3,"Gotowe jedzenie"
"12.05.2025","12.05.2025",-4,"Gotowe jedzenie"
"12.05.2025","12.05.2025",-24.5,"Biezace"
"12.05.2025","12.05.2025",-11.99,"Gotowe jedzenie"
"12.05.2025","12.05.2025",-6.57,"Jedzenie"
"12.05.2025","11.05.2025",-5.99,"Jedzenie"
"12.05.2025","11.05.2025",-3,"Gotowe jedzenie"
"10.05.2025","10.05.2025",-34.79,"Podroze"
"10.05.2025","10.05.2025",-22.09,"Jedzenie"
"10.05.2025","10.05.2025",-23.85,"Gotowe jedzenie"
"10.05.2025","10.05.2025",-14.99,"Biezace"
"09.05.2025","08.05.2025",-3.29,"Jedzenie"
"09.05.2025","08.05.2025",-22.3,"Jedzenie"
"09.05.2025","09.05.2025",-3.5,"Gotowe jedzenie"
"08.05.2025","08.05.2025",-20.02,"Jedzenie"
"08.05.2025","08.05.2025",-5.48,"Jedzenie"
"08.05.2025","08.05.2025",-4,"Gotowe jedzenie"
"08.05.2025","08.05.2025",24.28,"Podroze"
"08.05.2025","08.05.2025",-5.98,"Jedzenie"
"06.05.2025","06.05.2025",-5.48,"Jedzenie"
"06.05.2025","06.05.2025",-4,"Gotowe jedzenie"
"06.05.2025","06.05.2025",-4,"Gotowe jedzenie"
"05.05.2025","05.05.2025",-23,"Biezace"
"05.05.2025","05.05.2025",-32.76,"Jedzenie"
"05.05.2025","05.05.2025",-8.47,"Jedzenie"
"05.05.2025","04.05.2025",-5.5,"Jedzenie"
"05.05.2025","04.05.2025",-19,"Jedzenie"
"30.04.2025","30.04.2025",-24,"Sport"
"30.04.2025","30.04.2025",-20.57,"Jedzenie"
"30.04.2025","30.04.2025",-29.99,"Sport"
"30.04.2025","30.04.2025",-0.87,"Biezace"
"30.04.2025","30.04.2025",1600,"Przychody"
"30.04.2025","30.04.2025",-4.99,"Jedzenie"
"30.04.2025","30.04.2025",-84.47,"Zdrowie"
"30.04.2025","30.04.2025",-41.25,"Kosmetyki"
"29.04.2025","29.04.2025",-23.69,"Jedzenie"
"29.04.2025","29.04.2025",-52.97,"Sport"
"29.04.2025","29.04.2025",-230,"Sport"
"29.04.2025","29.04.2025",-11.92,"Jedzenie"
"28.04.2025","28.04.2025",-2.2,"Jedzenie"
"28.04.2025","27.04.2025",-7.12,"Jedzenie"
"28.04.2025","27.04.2025",-6.57,"Jedzenie"
"28.04.2025","28.04.2025",-1.29,"Jedzenie"
"25.04.2025","25.04.2025",-6.49,"Jedzenie"
"25.04.2025","25.04.2025",-3.98,"Jedzenie"
"25.04.2025","25.04.2025",-11.36,"Jedzenie"
"24.04.2025","24.04.2025",-22.27,"Jedzenie"
"24.04.2025","24.04.2025",-3.84,"Jedzenie"
"24.04.2025","24.04.2025",-4.4,"Jedzenie"
"23.04.2025","23.04.2025",-8.5,"Jedzenie"
"23.04.2025","23.04.2025",-2.8,"Gotowe jedzenie"
"23.04.2025","23.04.2025",-1.99,"Jedzenie"
"22.04.2025","22.04.2025",-6.75,"Jedzenie"
"22.04.2025","22.04.2025",-2.99,"Jedzenie"
"22.04.2025","22.04.2025",-3.69,"Jedzenie"
"22.04.2025","22.04.2025",-10.92,"Jedzenie"
"18.04.2025","18.04.2025",-21.77,"Jedzenie"
"18.04.2025","18.04.2025",-3.79,"Kosmetyki"
"18.04.2025","18.04.2025",-2,"Transport publiczny"
"17.04.2025","17.04.2025",-450,"Podroze"
"17.04.2025","17.04.2025",-7.28,"Jedzenie"
"16.04.2025","16.04.2025",-4,"Gotowe jedzenie"
"16.04.2025","16.04.2025",-2.8,"Gotowe jedzenie"
"16.04.2025","16.04.2025",-8.47,"Jedzenie"
"15.04.2025","15.04.2025",-56,"Biezace"
"15.04.2025","15.04.2025",-16.05,"Jedzenie"
"15.04.2025","15.04.2025",-3,"Gotowe jedzenie"
"15.04.2025","15.04.2025",-17,"Gotowe jedzenie"
"14.04.2025","14.04.2025",-12.3,"Jedzenie"
"14.04.2025","14.04.2025",-11.99,"Gotowe jedzenie"
